Instance name,vCPUs,Memory,Network Performance,Storage,On-Demand Hourly Cost,CurrentGeneration,Potential Effective Hourly Cost (Savings %)
c6in.4xlarge,16,32 GiB,Up to 50000 Megabit,EBS only,0.9072,Yes,0.2867 (68%)
r6a.4xlarge,16,128 GiB,Up to 12500 Megabit,EBS only,0.9072,Yes,0.3582 (61%)
r6gd.4xlarge,16,128 GiB,Up to 10 Gigabit,1 x 950 NVMe SSD,0.9216,Yes,0.3465 (62%)
m7a.4xlarge,16,64 GiB,Up to 12500 Megabit,EBS only,0.92736,Yes,0.3661 (61%)
h1.4xlarge,16,64 GiB,Up to 10 Gigabit,2 x 2000 HDD,0.936,Yes,0.3935 (58%)
m6id.4xlarge,16,64 GiB,Up to 12500 Megabit,1 x 950 NVMe SSD,0.9492,Yes,0.3569 (62%)
m5n.4xlarge,16,64 GiB,Up to 25 Gigabit,EBS only,0.952,Yes,0.3195 (66%)
m5zn.3xlarge,12,48 GiB,Up to 25 Gigabit,EBS only,0.991,Yes,0.3726 (62%)
c7gn.4xlarge,16,32 GiB,50 Gigabit,EBS only,0.9984,Yes,0.3156 (68%)
d3.2xlarge,8,64 GiB,Up to 15 Gigabit,6 x 2000 HDD,0.999,Yes,
g5.xlarge,4,16 GiB,Up to 10 Gigabit,1 x 250 GB NVMe SSD,1.006,Yes,0.3783 (62%)
r6i.4xlarge,16,128 GiB,Up to 12500 Megabit,EBS only,1.008,Yes,0.3979 (61%)
r5.4xlarge,16,128 GiB,Up to 10 Gigabit,EBS only,1.008,Yes,0.3790 (62%)
r5ad.4xlarge,16,128 GiB,Up to 10 Gigabit,2 x 300 NVMe SSD,1.048,Yes,0.3941 (62%)
r7i.4xlarge,16,128 GiB,Up to 12500 Megabit,EBS only,1.0584,Yes,0.4178 (61%)
r4.4xlarge,16,122 GiB,Up to 10 Gigabit,EBS only,1.064,Yes,0.4001 (62%)
c6g.8xlarge,32,64 GiB,12 Gigabit,EBS only,1.088,Yes,0.4091 (62%)
m5dn.4xlarge,16,64 GiB,Up to 25 Gigabit,2 x 300 NVMe SSD,1.088,Yes,0.3682 (66%)
r7gd.4xlarge,16,128 GiB,Up to 15 Gigabit,1 x 950 NVMe SSD,1.0886,Yes,0.4095 (62%)
m6in.4xlarge,16,64 GiB,Up to 50000 Megabit,EBS only,1.11384,Yes,0.3737 (66%)
z1d.3xlarge,12,96 GiB,Up to 10 Gigabit,1 x 450 NVMe SSD,1.116,Yes,0.4006 (64%)
g3.4xlarge,16,122 GiB,Up to 10 Gigabit,EBS only,1.14,Yes,0.5057 (56%)
r5d.4xlarge,16,128 GiB,Up to 10 Gigabit,2 x 300 NVMe SSD,1.152,Yes,0.4331 (62%)
is4gen.2xlarge,8,48 GiB,Up to 25 Gigabit,1 x 7500 SSD,1.1526,Yes,0.4363 (62%)
c7g.8xlarge,32,64 GiB,15 Gigabit,EBS only,1.1562,Yes,0.4430 (62%)
inf1.6xlarge,24,48 GiB,25 Gigabit,EBS only,1.18,Yes,0.4937 (58%)
r5n.4xlarge,16,128 GiB,Up to 25 Gigabit,EBS only,1.192,Yes,0.4202 (65%)
r5b.4xlarge,16,128 GiB,Up to 10 Gigabit,EBS only,1.192,Yes,0.4202 (65%)
g4dn.4xlarge,16,64 GiB,Up to 25 Gigabit,225 GB NVMe SSD,1.204,Yes,0.4527 (62%)
r6id.4xlarge,16,128 GiB,Up to 12500 Megabit,1 x 950 NVMe SSD,1.2096,Yes,0.4549 (62%)
g5.2xlarge,8,32 GiB,Up to 10 Gigabit,1 x 450 GB NVMe SSD,1.212,Yes,0.4557 (62%)
r7a.4xlarge,16,128 GiB,Up to 12500 Megabit,EBS only,1.2172,Yes,0.4806 (61%)
c6a.8xlarge,32,64 GiB,12500 Megabit,EBS only,1.224,Yes,0.4690 (62%)
c6gd.8xlarge,32,64 GiB,12 Gigabit,1 x 1900 NVMe SSD,1.2288,Yes,0.4620 (62%)
c5a.8xlarge,32,64 GiB,10 Gigabit,EBS only,1.232,Yes,0.4632 (62%)
m6g.8xlarge,32,128 GiB,12 Gigabit,EBS only,1.232,Yes,0.4661 (62%)
i4g.4xlarge,16,128 GiB,Up to 25 Gigabit,1 x 3750 SSD,1.23552,Yes,0.4975 (60%)
i3.4xlarge,16,122 GiB,Up to 10 Gigabit,2 x 1900 NVMe SSD,1.248,Yes,0.5279 (58%)
m6idn.4xlarge,16,64 GiB,Up to 50000 Megabit,1 x 950 NVMe SSD,1.27296,Yes,0.4308 (66%)
m7g.8xlarge,32,128 GiB,15 Gigabit,EBS only,1.3056,Yes,0.5154 (61%)
r5dn.4xlarge,16,128 GiB,Up to 25 Gigabit,2 x 300 NVMe SSD,1.336,Yes,0.4734 (65%)
x2gd.4xlarge,16,256 GiB,Up to 10 Gigabit,1 x 950 SSD,1.336,Yes,0.3972 (70%)
trn1.2xlarge,8,32 GiB,12500 Megabit,1 x 475 NVMe SSD,1.34375,Yes,0.4459 (67%)
i3en.3xlarge,12,96 GiB,Up to 25 Gigabit,1 x 7500 NVMe SSD,1.356,Yes,0.5135 (62%)
c6i.8xlarge,32,64 GiB,12500 Megabit,EBS only,1.36,Yes,0.5211 (62%)
i4i.4xlarge,16,128 GiB,Up to 25 Gigabit,1 x 3750 NVMe SSD,1.373,Yes,0.5527 (60%)
c5ad.8xlarge,32,64 GiB,10 Gigabit,2 x 600 NVMe SSD,1.376,Yes,0.5174 (62%)
m5a.8xlarge,32,128 GiB,Up to 10 Gigabit,EBS only,1.376,Yes,0.5174 (62%)
c6gn.8xlarge,32,64 GiB,50 Gigabit,EBS only,1.3824,Yes,0.5166 (63%)
m6a.8xlarge,32,128 GiB,12500 Megabit,EBS only,1.3824,Yes,0.5458 (61%)
r6in.4xlarge,16,128 GiB,Up to 50000 Megabit,EBS only,1.39464,Yes,0.4915 (65%)
c7i.8xlarge,32,64 GiB,12500 Megabit,EBS only,1.428,Yes,0.5472 (62%)
